id,type,connectivity
1,2,1 61 5
2,2,187 2 31
3,2,2 188 3
4,2,18 185 186
5,2,4 18 19
6,2,185 5 184
7,2,18 186 6
8,2,17 18 184
9,2,7 19 183
10,2,185 8 19
11,2,20 183 9
12,2,182 17 184
13,2,10 16 17
14,2,182 11 20
15,2,181 183 12
16,2,20 21 181
17,2,13 180 16
18,2,182 14 15
19,2,16 180 15
20,2,21 179 181
21,2,16 21 22
22,2,179 17 178
23,2,15 180 18
24,2,14 15 178
25,2,19 22 177
26,2,179 20 22
27,2,23 177 21
28,2,23 24 176
29,2,22 13 14
30,2,189 23 23
31,2,176 177 24
32,2,4 51 170
33,2,25 4 170
34,2,171 26 24
35,2,25 175 27
36,2,24 175 176
37,2,28 51 52
38,2,169 29 51
39,2,169 170 30
40,2,52 53 167
41,2,31 25 26
42,2,174 32 52
43,2,167 169 33
44,2,25 174 175
45,2,34 53 54
46,2,166 35 53
47,2,166 167 36
48,2,54 55 164
49,2,37 26 27
50,2,173 38 32
51,2,3 188 39
52,2,54 164 166
53,2,40 26 173
54,2,174 41 55
55,2,56 163 42
56,2,62 6 187
57,2,43 55 163
58,2,164 44 27
59,2,28 172 45
60,2,56 57 161
61,2,46 3 33
62,2,188 47 56
63,2,161 163 48
64,2,57 58 160
65,2,49 27 172
66,2,173 50 6
67,2,63 187 51
68,2,57 160 161
69,2,52 28 29
70,2,168 53 58
71,2,59 159 54
72,2,58 159 160
73,2,55 59 60
74,2,158 56 28
75,2,168 172 57
76,2,60 61 157
77,2,58 29 30
78,2,165 59 14
79,2,178 189 60
80,2,59 158 159
81,2,61 60 157
82,2,158 62 63
83,2,64 157 63
84,2,64 65 158
85,2,64 29 165
86,2,168 65 30
87,2,31 162 66
88,2,157 64 158
89,2,67 65 66
90,2,159 68 158
91,2,65 159 69
92,2,66 67 160
93,2,70 159 66
94,2,160 71 33
95,2,34 162 72
96,2,67 68 161
97,2,73 30 162
98,2,165 74 160
99,2,67 161 75
100,2,68 69 163
101,2,76 161 68
102,2,163 77 34
103,2,35 165 78
104,2,69 70 164
105,2,79 163 69
106,2,164 80 70
107,2,71 166 81
108,2,162 34 165
109,2,82 164 70
110,2,166 83 71
111,2,72 167 84
112,2,35 36 168
113,2,85 72 73
114,2,169 86 166
115,2,71 167 87
116,2,165 35 168
117,2,88 73 74
118,2,170 89 167
119,2,72 169 90
120,2,74 75 171
121,2,91 36 37
122,2,172 92 157
123,2,61 187 93
124,2,169 73 170
125,2,94 170 74
126,2,171 95 168
127,2,36 172 96
128,2,37 38 173
129,2,97 38 39
130,2,174 98 172
131,2,37 173 99
132,2,39 40 175
133,2,100 173 38
134,2,174 101 40
135,2,41 176 102
136,175,
137,175,
138,175,
139,175,
140,175,
141,175,
142,175,
143,175,
144,175,
145,175,
146,175,
147,175,
148,175,
149,175,
150,175,
151,175,
152,175,
153,175,
154,175,
155,175,
156,175,
157,175,
158,175,
159,175,
160,175,
161,175,
162,175,
163,175,
164,175,
165,175,
166,175,
167,175,
168,175,
169,175,
170,175,
171,175,
172,175,
173,175,
174,175,
175,175,
176,175,
177,175,
178,175,
179,175,
180,175,
181,175,
182,175,
183,175,
184,175,
185,175,
186,175,
187,175,
188,175,
189,175,
190,175,
191,175,
192,175,
193,175,
194,175,
195,175,
196,175,
197,175,
198,175,
199,175,
200,175,
201,175,
202,175,
203,175,
204,175,
205,175,
206,175,
207,175,
208,175,
209,175,
210,175,
211,175,
212,175,
213,175,
214,175,
215,175,
216,175,
217,175,
218,175,
219,175,
220,175,
221,175,
222,175,
223,175,
224,175,
225,175,
226,175,
227,175,
228,175,
229,175,
230,175,
231,175,
232,175,
233,175,
234,175,
235,175,
236,175,
237,175,
238,175,
239,177,
240,177,
241,177,
242,177,
243,177,
244,177,
245,177,
246,177,
247,177,
248,177,
249,177,
250,177,
251,177,
252,177,
253,177,
254,177,
255,177,
256,177,
257,177,
258,177,
259,177,
260,177,
261,177,
262,177,
263,177,
264,177,
265,177,
266,177,
267,177,
268,177,
269,177,
270,177,
271,177,
272,177,
273,177,
274,177,
275,177,
276,177,
277,177,
278,177,
279,177,
280,177,
281,177,
282,177,
283,177,
284,177,
285,177,
286,177,
287,177,
288,177,
289,177,
290,177,
291,177,
292,177,
293,177,
294,177,
295,177,
296,177,
297,177,
298,177,
299,177,
300,177,
301,177,
302,177,
303,177,
304,177,
305,177,
306,177,
307,177,
308,177,
309,177,
310,177,
311,177,
312,177,
313,177,
314,177,
315,177,
316,177,
317,177,
318,177,
319,177,
320,177,
321,177,
322,177,
323,177,
324,177,
325,177,
326,177,
327,177,
328,177,
329,177,
330,177,
331,177,
332,177,
333,177,
334,177,
335,177,
336,177,
337,177,
338,177,
339,177,
340,177,
341,177,
342,177,
